2025-11-26 21:05:54 | INFO | logger | TEST_START | Starting PCAP Module against -c | Data: {"target":"-c","config":{"args":["-c","5"]},"start_time":1764173154.0029876}
2025-11-26 21:05:55 | INFO | logger | TEST_END | Completed PCAP Module against -c | Data: {"target":"-c","results":{"exit_code":1},"duration":1.40944504737854,"end_time":1764173155.4273782}
2025-11-26 21:05:55 | INFO | logger | ERROR | PCAP module failed | Data: {"exit_code":1,"args":["-c","5"]}
2025-11-26 21:07:38 | INFO | logger | TEST_START | Starting PCAP Module against -c | Data: {"target":"-c","config":{"args":["-c","5"]},"start_time":1764173258.9762576}
2025-11-26 21:07:40 | INFO | logger | TEST_END | Completed PCAP Module against -c | Data: {"target":"-c","results":{"exit_code":1},"duration":1.30436372756958,"end_time":1764173260.2963548}
2025-11-26 21:07:40 | INFO | logger | ERROR | PCAP module failed | Data: {"exit_code":1,"args":["-c","5"]}
2025-11-26 21:09:02 | INFO | logger | TEST_START | Starting PCAP Module against -c | Data: {"target":"-c","config":{"args":["-c","5"]},"start_time":1764173342.367827}
2025-11-26 21:10:38 | INFO | logger | TEST_START | Starting Comprehensive Security Scan against 127.0.0.1 | Data: {"target":"127.0.0.1","config":{"output_dir":"comprehensive_scan_20251126_211038"},"start_time":1764173438.8032382}
2025-11-26 21:10:38 | INFO | logger | TEST_START | Starting SCAN Module against 127.0.0.1 | Data: {"target":"127.0.0.1","config":{"args":["127.0.0.1","-p","common","-o","comprehensive_scan_20251126_211038\\port_scan_results.json","--format","json"]},"start_time":1764173438.8171425}
2025-11-26 21:10:38 | INFO | logger | TEST_END | Completed SCAN Module against 127.0.0.1 | Data: {"target":"127.0.0.1","results":{"exit_code":1},"duration":0.16562867164611816,"end_time":1764173438.9965665}
2025-11-26 21:10:39 | INFO | logger | ERROR | SCAN module failed | Data: {"exit_code":1,"args":["127.0.0.1","-p","common","-o","comprehensive_scan_20251126_211038\\port_scan_results.json","--format","json"]}
2025-11-26 21:10:39 | INFO | logger | TEST_START | Starting STRESS Module against http://127.0.0.1 | Data: {"target":"http://127.0.0.1","config":{"args":["http://127.0.0.1","-c","10","-d","15","-o","comprehensive_scan_20251126_211038\\stress_test_results.json"]},"start_time":1764173439.022878}
2025-11-26 21:10:40 | INFO | logger | TEST_END | Completed STRESS Module against http://127.0.0.1 | Data: {"target":"http://127.0.0.1","results":{"exit_code":1},"duration":1.5372319221496582,"end_time":1764173440.5739841}
2025-11-26 21:10:40 | INFO | logger | ERROR | STRESS module failed | Data: {"exit_code":1,"args":["http://127.0.0.1","-c","10","-d","15","-o","comprehensive_scan_20251126_211038\\stress_test_results.json"]}
2025-11-26 21:10:40 | INFO | logger | TEST_START | Starting REPORT Module against --generate-report | Data: {"target":"--generate-report","config":{"args":["--generate-report","txt","-o","comprehensive_scan_20251126_211038\\comprehensive_report.txt"]},"start_time":1764173440.6031237}
2025-11-26 21:10:41 | INFO | logger | TEST_END | Completed REPORT Module against --generate-report | Data: {"target":"--generate-report","results":{"exit_code":1},"duration":0.5654563903808594,"end_time":1764173441.183504}
2025-11-26 21:10:41 | INFO | logger | ERROR | REPORT module failed | Data: {"exit_code":1,"args":["--generate-report","txt","-o","comprehensive_scan_20251126_211038\\comprehensive_report.txt"]}
2025-11-26 21:10:41 | INFO | logger | TEST_END | Completed Comprehensive Security Scan against 127.0.0.1 | Data: {"target":"127.0.0.1","results":{"port_scan":{"exit_code":1,"completed":false},"stress_test":{"exit_code":1,"completed":false},"report":{"exit_code":1,"completed":false}},"duration":2.400378704071045,"end_time":1764173441.2170908}
2025-11-26 21:10:59 | INFO | logger | TEST_START | Starting Comprehensive Security Scan against 127.0.0.1 | Data: {"target":"127.0.0.1","config":{"output_dir":"comprehensive_scan_20251126_211059"},"start_time":1764173459.1177247}
2025-11-26 21:10:59 | INFO | logger | TEST_START | Starting SCAN Module against 127.0.0.1 | Data: {"target":"127.0.0.1","config":{"args":["127.0.0.1","-p","common","-o","comprehensive_scan_20251126_211059\\port_scan_results.json","--format","json"]},"start_time":1764173459.1318626}
2025-11-26 21:10:59 | INFO | logger | TEST_END | Completed SCAN Module against 127.0.0.1 | Data: {"target":"127.0.0.1","results":{"exit_code":1},"duration":0.1698307991027832,"end_time":1764173459.3157613}
2025-11-26 21:10:59 | INFO | logger | ERROR | SCAN module failed | Data: {"exit_code":1,"args":["127.0.0.1","-p","common","-o","comprehensive_scan_20251126_211059\\port_scan_results.json","--format","json"]}
2025-11-26 21:10:59 | INFO | logger | TEST_START | Starting STRESS Module against http://127.0.0.1 | Data: {"target":"http://127.0.0.1","config":{"args":["http://127.0.0.1","-c","10","-d","15","-o","comprehensive_scan_20251126_211059\\stress_test_results.json"]},"start_time":1764173459.3507116}
2025-11-26 21:11:00 | INFO | logger | TEST_END | Completed STRESS Module against http://127.0.0.1 | Data: {"target":"http://127.0.0.1","results":{"exit_code":1},"duration":1.2850439548492432,"end_time":1764173460.6516676}
2025-11-26 21:11:00 | INFO | logger | ERROR | STRESS module failed | Data: {"exit_code":1,"args":["http://127.0.0.1","-c","10","-d","15","-o","comprehensive_scan_20251126_211059\\stress_test_results.json"]}
2025-11-26 21:11:00 | INFO | logger | TEST_START | Starting REPORT Module against --generate-report | Data: {"target":"--generate-report","config":{"args":["--generate-report","txt","-o","comprehensive_scan_20251126_211059\\comprehensive_report.txt"]},"start_time":1764173460.6810515}
